0me,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
M J Lumb,204,203,11,4700,124,24.47,1,25,138.19,67,0,23.15270936,51108.4314,15.04,4.708492552
R S Bopara,221,205,38,4540,105,27.18,1,24,119.37,67,0,22.14634146,50814.64432,15.01,4.70598889
M K Niazi,138,122,32,3067,107,34.07,1,11,118.69,56,0,25.13934426,44892.03299,14.56,4.652169273
A M Rahane,141,135,16,3671,103,30.84,1,30,118.49,61,0,27.19259259,44834.85565,14.55,4.651615776
F du Plessis,156,142,16,3570,119,28.33,1,20,125.52,69,0,25.14084507,44628.67093,14.53,4.649613954
H H Gibbs,171,167,13,3895,101,25.29,1,28,123.22,76,0,23.32335329,39771.05516,14.12,4.599567113
Kamran Akmal,174,158,16,3517,105,24.76,1,23,127.24,102,77,22.25949367,39047.10216,14.06,4.591588809
J D Ryder,121,118,7,2959,107,26.65,1,21,149.14,37,0,25.07627119,38591.32221,14.02,4.586489659
M N van Wyk,115,111,14,2982,114,30.74,1,19,122.26,80,19,26.86486486,37155.2967,13.88,4.570020734
S R Tendulkar,96,96,11,2797,100,32.9,1,16,121.13,28,0,29.13541667,35668.92822,13.74,4.55229006
S P D Smith,140,121,29,2652,101,28.82,1,8,126.04,80,0,21.91735537,35667.16036,13.74,4.552268534
M K Pandey,138,130,18,2902,114,25.91,1,13,117.29,69,2,22.32307692,29957.91056,13.16,4.47651152
W P Saha,146,123,27,2383,115,24.82,1,12,130.64,76,24,19.37398374,29349.43289,13.09,4.467599714
G C Smith,86,86,6,2389,105,29.86,1,11,123.08,37,0,27.77906977,28095.93044,12.95,4.448643419
D J Harris,78,73,7,1965,108,29.77,1,9,127.51,29,0,26.91780822,25503.94458,12.64,4.406607356
S T Jayasuriya,111,109,7,2317,114,22.71,1,12,140.08,21,0,21.25688073,24019.59942,12.45,4.38056576
C A Lynn,68,63,9,1592,101,29.48,1,10,143.03,24,0,25.26984127,23185.47634,12.34,4.365216023
K S Williamson,96,89,10,2087,101,26.41,1,11,118.57,43,0,23.4494382,22557.80691,12.26,4.353296875
D T Christian,164,141,29,2276,129,20.32,1,6,129.46,68,0,16.14184397,22284.67362,12.22,4.348006278
T L Suman,75,72,9,1546,100,24.53,1,5,125.69,21,0,21.47222222,15888.63211,11.23,4.201086509
M A Agarwal,79,74,5,1568,111,22.72,1,8,127.16,33,0,21.18918919,15475.6983,11.15,4.189650255
R Bhatia,137,87,36,1133,107,22.21,1,1,118.51,40,0,13.02298851,15027.43158,11.07,4.176884759
L A Pomersbach,56,54,7,1229,112,26.14,1,5,129.91,21,0,22.75925926,13849.82527,10.85,4.141444294
L P C Silva,65,62,8,1321,110,24.46,1,3,119.98,26,0,21.30645161,13005.88092,10.68,4.114139773
M Ashraful,64,60,4,1300,103,23.21,1,4,117.54,21,0,21.66666667,12105.50415,10.49,4.082982881
G R 0pier,126,92,17,1177,152,15.69,1,0,149.17,38,0,12.79347826,12072.95529,10.48,4.081813592
M C Juneja,38,36,8,871,108,31.1,1,3,126.04,18,0,24.19444444,11532.35526,10.36,4.061918013
I R Jaggi,45,44,10,1011,108,29.73,1,4,112.83,13,0,22.97727273,11098.91355,10.26,4.045280469
T M Head,26,25,4,620,101,29.52,1,4,148.32,7,0,24.8,9034.22863,9.75,3.955891077
D B R Teja,59,52,9,982,101,22.83,1,4,109.84,22,0,18.88461538,8940.803906,9.72,3.95137657
P A Reddy,47,46,6,912,105,22.8,1,1,118.44,12,0,19.82608696,8052.265548,9.47,3.905918089
P C Valthaty,34,34,1,778,120,23.57,1,3,126.5,6,0,22.88235294,7423.003808,9.28,3.870579683
B B Samantray,46,43,6,721,102,19.48,1,2,113.9,14,0,16.76744186,5476.300811,8.6,3.738487296
P S P Handscomb,35,29,12,460,103,27.05,1,1,112.19,17,4,15.86206897,5391.371691,8.57,3.731699274
S S Shaikh,18,17,1,405,110,25.31,1,2,121.25,6,0,23.82352941,4211.167129,8.06,3.624402478
V H Zol,12,11,0,298,109,27.09,1,1,122.63,3,0,27.09090909,3455.894982,7.67,3.538560537
K A Pollard,312,279,84,6095,89,31.25,0,30,152.71,177,0,21.84587814,104085.8224,17.96,5.017391578
Shoaib Malik,233,221,63,5995,95,37.94,0,37,123.5,92,0,27.12669683,94769.17441,17.55,4.976667097
M S Dhoni,240,216,86,4884,73,37.56,0,18,135.93,122,59,22.61111111,88659.24419,17.26,4.947724025
J P Duminy,210,197,62,5137,99,38.05,0,33,122.28,79,0,26.07614213,81530.98774,16.9,4.911322704
O A Shah,230,217,49,5509,84,32.79,0,30,125.06,73,0,25.38709677,76621.50778,16.64,4.884350694
R V Uthappa,198,192,20,5059,92,29.41,0,26,132.74,96,32,26.34895833,65174.1622,15.98,4.814075457
K C Sangakkara,190,184,18,4957,94,29.86,0,29,126.55,108,47,26.94021739,61895.15118,15.77,4.791656628
G Gambhir,211,207,19,5382,93,28.62,0,44,120.78,42,0,26,60683.47414,15.7,4.783070436
D J J Bravo,308,258,71,4798,70,25.65,0,17,125.24,158,0,18.59689922,58880.52327,15.58,4.769971661
J A Morkel,287,231,85,3767,73,25.8,0,11,137.93,62,0,16.30735931,53295.91927,15.19,4.726693958
S Dhawan,160,159,19,4299,95,30.7,0,32,119.38,62,0,27.03773585,50735.29989,15.01,4.705310232
J H Kallis,176,171,28,4416,97,30.88,0,32,112.45,54,0,25.8245614,50504.76468,14.99,4.703332352
A C Voges,159,148,30,3691,82,31.27,0,16,126.05,65,0,24.93918919,50014.9874,14.95,4.699100164
J E C Franklin,184,165,41,3709,90,29.91,0,14,125.85,62,0,22.47878788,49820.75714,14.94,4.697410323
Yuvraj Singh,187,176,23,4047,83,26.45,0,23,131.05,43,0,22.99431818,47695.21635,14.78,4.678474823
E J G Morgan,191,178,25,4001,85,26.15,0,18,129.06,88,0,22.47752809,46365.53214,14.67,4.666195249
A D Russell,206,168,45,2948,77,23.96,0,12,165.99,89,0,17.54761905,46004.90464,14.65,4.662804135
J C Buttler,155,137,32,2900,72,27.61,0,15,146.02,80,16,21.16788321,42328.98532,14.34,4.626637858
K K K D Karthik,199,175,22,3682,90,24.06,0,18,127.62,121,44,21.04,41139.89259,14.24,4.614263154
G J Maxwell,161,152,14,3089,95,22.38,0,16,152.92,75,0,20.32236842,35832.28851,13.76,4.554274546
S M Katich,118,101,19,2483,75,30.28,0,10,126.55,47,0,24.58415842,35571.75985,13.73,4.551105352
G J Bailey,139,124,32,2613,71,28.4,0,14,133.38,55,0,21.07258065,35505.16672,13.73,4.550291556
Shahid Afridi,215,190,25,3152,80,19.1,0,8,155.5,59,0,16.58947368,33898.83763,13.57,4.530184807
